4721,1.00E-02,1.57E-03,8.91E-04,5.85E-06,-1.08E-05,-3.40E-03
4722,1.00E-02,2.41E-03,1.33E-04,-7.75E-06,-1.27E-05,-3.55E-03
4723,1.00E-02,3.36E-03,-4.85E-04,1.14E-06,-1.29E-05,-3.47E-03
4724,9.99E-03,4.30E-03,-9.70E-04,1.75E-06,-7.37E-06,-2.97E-03
4725,1.00E-02,3.90E-03,-4.14E-04,1.60E-05,1.32E-05,-2.95E-03
4726,1.00E-02,3.61E-03,-7.99E-05,3.61E-06,-6.59E-06,-3.42E-03
4727,1.00E-02,3.04E-03,6.41E-07,1.66E-05,1.78E-05,-2.99E-03
4728,1.00E-02,2.95E-03,9.46E-05,3.26E-06,-1.10E-05,-3.36E-03
4729,1.00E-02,2.30E-03,3.89E-04,1.31E-05,1.96E-05,-2.68E-03
4730,1.00E-02,2.43E-03,2.22E-04,1.22E-06,-1.33E-05,-3.00E-03
4731,1.00E-02,1.68E-03,7.63E-04,4.61E-06,1.13E-05,-2.18E-03
4732,1.00E-02,1.99E-03,3.00E-04,-1.48E-07,-8.47E-06,-2.51E-03
4733,1.00E-02,1.60E-03,3.47E-04,3.49E-07,-1.25E-06,-1.92E-03
4734,1.00E-02,7.07E-04,7.22E-04,-4.37E-07,9.87E-07,-1.43E-03
4735,1.00E-02,1.06E-03,1.12E-03,1.97E-07,1.04E-06,-1.65E-03
4736,1.00E-02,3.27E-04,1.64E-03,4.55E-07,-1.30E-06,-1.97E-03
4737,1.00E-02,2.86E-04,2.03E-03,5.12E-06,-1.36E-06,-2.58E-03
4738,1.00E-02,1.97E-04,2.50E-03,9.94E-06,-1.29E-06,-3.08E-03
4739,1.00E-02,5.58E-05,3.08E-03,7.01E-06,-1.97E-06,-3.40E-03
4740,1.00E-02,-1.25E-04,3.78E-03,2.67E-06,-3.79E-07,-3.35E-03
4741,1.00E-02,7.07E-04,1.76E-03,-6.05E-06,-1.83E-06,-2.27E-03
4742,1.00E-02,3.14E-04,2.43E-03,-1.51E-05,-1.21E-05,-2.74E-03
4743,1.00E-02,-9.10E-05,3.22E-03,-1.31E-05,-1.35E-05,-3.00E-03
4744,1.00E-02,-5.16E-04,4.13E-03,-8.17E-06,-1.17E-05,-2.86E-03
4745,9.99E-03,-1.09E-03,4.62E-03,2.01E-06,5.60E-06,-2.69E-03
4746,1.00E-02,-6.35E-04,3.65E-03,6.71E-06,9.79E-07,-3.31E-03
4747,1.00E-02,-3.78E-05,2.67E-03,7.38E-06,-2.83E-07,-3.47E-03
4748,1.00E-02,7.12E-04,1.77E-03,8.85E-06,-1.53E-05,-3.38E-03
4749,1.00E-02,4.32E-03,-2.58E-04,2.56E-06,-3.08E-06,-2.98E-03
4750,1.00E-02,4.77E-03,-7.89E-04,1.37E-05,8.88E-06,-2.50E-03
4751,9.99E-03,5.17E-03,-1.29E-03,1.12E-06,-1.22E-06,-2.22E-03
4752,1.00E-02,4.93E-03,-3.98E-04,1.48E-07,5.29E-08,-2.06E-03
4753,1.00E-02,5.50E-03,-1.07E-03,7.33E-06,5.62E-06,-1.69E-03
4754,9.99E-03,5.86E-03,-1.46E-03,-1.23E-05,3.69E-06,-1.34E-03
4755,1.00E-02,5.29E-03,-4.75E-04,-3.39E-06,5.01E-07,-7.34E-04
4756,1.00E-02,5.91E-03,-1.22E-03,1.68E-07,2.70E-06,-5.94E-04
4757,9.99E-03,6.25E-03,-1.52E-03,-3.05E-05,2.67E-06,-4.46E-04
4758,1.00E-02,-1.69E-04,3.97E-03,-4.85E-06,-2.22E-06,3.23E-03
4759,1.00E-02,-6.03E-04,4.34E-03,9.76E-06,-1.26E-05,2.75E-03
4760,1.00E-02,-1.14E-03,4.75E-03,-4.85E-06,-5.68E-06,2.62E-03
4761,1.00E-02,-3.35E-04,4.67E-03,-1.93E-06,-1.76E-06,2.54E-03
4762,1.00E-02,-9.46E-04,5.18E-03,6.57E-06,-9.61E-06,2.11E-03
4763,9.99E-03,-1.39E-03,5.56E-03,2.90E-06,2.01E-06,1.77E-03
4764,1.00E-02,-4.51E-04,5.18E-03,1.18E-07,1.61E-06,1.33E-03
4765,1.00E-02,-1.17E-03,5.78E-03,4.09E-06,-4.10E-06,1.10E-03
4766,9.99E-03,-1.50E-03,6.11E-03,1.88E-06,1.87E-05,8.55E-04
4767,1.00E-02,-4.84E-04,5.34E-03,7.21E-08,2.66E-06,-1.79E-04
4768,1.00E-02,-1.24E-03,5.97E-03,1.52E-06,1.93E-06,-1.29E-04
4769,9.99E-03,-1.53E-03,6.30E-03,1.15E-06,2.30E-05,-6.06E-05
4770,1.00E-02,-4.32E-04,5.09E-03,-1.11E-06,3.32E-06,-1.65E-03
4771,1.00E-02,-1.13E-03,5.68E-03,-6.62E-07,-9.31E-07,-1.33E-03
4772,9.99E-03,-1.49E-03,6.06E-03,-6.60E-07,2.57E-05,-9.59E-04
4773,1.00E-02,-3.01E-04,4.51E-03,2.09E-07,6.96E-07,-2.77E-03
4774,1.00E-02,-8.79E-04,5.00E-03,-3.89E-06,-7.01E-06,-2.29E-03
4775,9.99E-03,-1.37E-03,5.47E-03,-2.21E-06,1.32E-05,-1.87E-03
4776,9.99E-03,5.17E-03,-1.30E-03,-3.30E-06,-5.48E-07,2.22E-03
4777,1.00E-02,4.77E-03,-7.90E-04,1.42E-05,-8.85E-06,2.50E-03
4778,1.00E-02,4.33E-03,-2.59E-04,2.39E-06,2.46E-06,2.97E-03
4779,9.99E-03,5.86E-03,-1.46E-03,-2.06E-05,-3.36E-06,1.33E-03
4780,1.00E-02,5.50E-03,-1.07E-03,6.53E-06,-4.75E-06,1.69E-03
4781,1.00E-02,4.94E-03,-3.98E-04,-1.25E-06,-7.90E-07,2.05E-03
